,Game,Nash
251,"( ([[0.3776784 , 0.08965847, 0.32825753],
       [0.72338417, 0.43582535, 0.52782175],
       [0.45054857, 0.80013154, 0.06884991]]),  ([[0.50002683, 0.45984244, 0.85437111],
       [0.28115468, 0.79100379, 0.68861271],
       [0.02385009, 0.1495212 , 0.74022962]]))","[( ([0.        , 0.85227073, 0.14772927]),  ([0.        , 0.55749312, 0.44250688]))]"
252,"( ([[0.00189215, 0.70128153, 0.87845292],
       [0.90578794, 0.35613294, 0.23340855],
       [0.03014817, 0.67830316, 0.76751209]]),  ([[0.1042762 , 0.12401444, 0.62080234],
       [0.08690539, 0.82341867, 0.89339138],
       [0.50506851, 0.58736289, 0.69841293]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
253,"( ([[0.13236749, 0.73886132, 0.0483312 ],
       [0.4136723 , 0.93585922, 0.29657388],
       [0.76901286, 0.6522211 , 0.75345516]]),  ([[0.35139879, 0.41575099, 0.65124901],
       [0.00770786, 0.93108015, 0.87906895],
       [0.61391096, 0.43245944, 0.79120186]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.        , 0.87337617, 0.12662383]),  ([0.        , 0.61697409, 0.38302591]))]"
254,"( ([[0.75284354, 0.5014407 , 0.14631426],
       [0.49207717, 0.18238571, 0.05792774],
       [0.08843114, 0.88777404, 0.95279483]]),  ([[0.63925885, 0.99100796, 0.8588327 ],
       [0.69985807, 0.59302706, 0.15034763],
       [0.15835197, 0.36670995, 0.25551806]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
255,"( ([[0.398068  , 0.01152256, 0.83200743],
       [0.98335732, 0.10018101, 0.25458735],
       [0.76947229, 0.76291624, 0.41916162]]),  ([[0.91187582, 0.48706415, 0.45255046],
       [0.76825812, 0.78124492, 0.85281134],
       [0.31868075, 0.7634376 , 0.52482941]]))","[( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.1554634, 0.8445366, 0.       ]),  ([0.49661599, 0.        , 0.50338401])), ( ([0.1923411 , 0.64271035, 0.16494854]),  ([0.47788705, 0.03269331, 0.48941964]))]"
256,"( ([[0.77552792, 0.80618541, 0.28868225],
       [0.53096469, 0.18427282, 0.5977856 ],
       [0.23214972, 0.88923533, 0.50329303]]),  ([[0.15295685, 0.42267346, 0.9731784 ],
       [0.46986828, 0.77117146, 0.5357128 ],
       [0.52404592, 0.36840865, 0.80000539]]))","[( ([0.        , 0.64701783, 0.35298217]),  ([0.        , 0.11819622, 0.88180378]))]"
257,"( ([[0.0848698 , 0.81688211, 0.91303725],
       [0.13092911, 0.33503477, 0.95800942],
       [0.91937774, 0.36880085, 0.60117767]]),  ([[0.79202043, 0.20261192, 0.76481859],
       [0.29553799, 0.66723911, 0.10937578],
       [0.08792926, 0.30392885, 0.7879541 ]]))","[( ([0.36326597, 0.49182408, 0.14490995]),  ([0.28225463, 0.08594788, 0.63179749]))]"
258,"( ([[0.41229054, 0.8406936 , 0.86981083],
       [0.91641855, 0.07038057, 0.0249326 ],
       [0.39438857, 0.67981221, 0.54935025]]),  ([[0.62439431, 0.04361264, 0.49297235],
       [0.70682671, 0.38519984, 0.94028263],
       [0.60069841, 0.24169124, 0.46412977]]))","[( ([0.63981933, 0.36018067, 0.        ]),  ([0.62629675, 0.        , 0.37370325]))]"
259,"( ([[0.02773041, 0.05005457, 0.25919081],
       [0.65102286, 0.94857144, 0.82615389],
       [0.46029691, 0.63811011, 0.99583704]]),  ([[0.60206567, 0.72314003, 0.55959688],
       [0.28254161, 0.80020587, 0.78107992],
       [0.43313974, 0.34870705, 0.4888597 ]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.        , 0.87992141, 0.12007859]),  ([0.        , 0.35340019, 0.64659981]))]"
260,"( ([[0.20411591, 0.2699835 , 0.66662254],
       [0.41340311, 0.26965866, 0.15007904],
       [0.37720893, 0.50861443, 0.21831611]]),  ([[0.81752183, 0.91620493, 0.3083602 ],
       [0.35521108, 0.38979175, 0.06071442],
       [0.21417234, 0.66540063, 0.90046461]]))","[( ([0.2788724, 0.       , 0.7211276]),  ([0.        , 0.65261617, 0.34738383]))]"
261,"( ([[0.15617471, 0.77750886, 0.60590258],
       [0.00120055, 0.28202724, 0.81875907],
       [0.93371685, 0.55755642, 0.47780342]]),  ([[0.94779959, 0.35948624, 0.19983055],
       [0.10861414, 0.72282178, 0.1763008 ],
       [0.45665909, 0.53754236, 0.52334952]]))","[( ([ 0.12086623, -0.        ,  0.87913377]),  ([0.2205049, 0.7794951, 0.       ]))]"
262,"( ([[0.79762049, 0.41307735, 0.5266579 ],
       [0.18094541, 0.59970159, 0.83161324],
       [0.72703449, 0.71719477, 0.26325724]]),  ([[0.64694003, 0.75008296, 0.18674077],
       [0.76428825, 0.01572109, 0.84206585],
       [0.17367108, 0.0276667 , 0.86251692]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0.14457424, 0.85542576, 0.        ]),  ([0.33088681, 0.        , 0.66911319])), ( ([0.59706472, 0.00456831, 0.39836697]),  ([0.28367017, 0.36775021, 0.34857962]))]"
263,"( ([[0.81918991, 0.80819288, 0.65315713],
       [0.58200318, 0.46950581, 0.62100206],
       [0.42899595, 0.6716664 , 0.18307087]]),  ([[0.39794478, 0.61989806, 0.2556002 ],
       [0.64065899, 0.05764537, 0.69725884],
       [0.52075652, 0.74486507, 0.66586992]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
264,"( ([[0.25541753, 0.21020025, 0.72242034],
       [0.86348882, 0.17395336, 0.01290379],
       [0.07154182, 0.70221077, 0.13755375]]),  ([[0.73930544, 0.51874568, 0.89809734],
       [0.99544066, 0.41398335, 0.93696263],
       [0.05479041, 0.13439124, 0.96194571]]))","[( ([1., 0., 0.]),  ([0., 0., 1.])), ( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0.26914922, 0.73085078, 0.        ]),  ([0.53849658, 0.        , 0.46150342]))]"
265,"( ([[0.10245375, 0.24870122, 0.99465513],
       [0.06317258, 0.58864482, 0.12423272],
       [0.36742545, 0.63115061, 0.90515066]]),  ([[0.71676017, 0.80861441, 0.75961356],
       [0.15872022, 0.8314563 , 0.63663768],
       [0.84029666, 0.66945153, 0.44668977]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
266,"( ([[0.81559257, 0.85891219, 0.76120727],
       [0.1062934 , 0.582174  , 0.54984643],
       [0.5145016 , 0.04128224, 0.02689025]]),  ([[0.16827752, 0.2603207 , 0.60331002],
       [0.99437363, 0.39463071, 0.47377392],
       [0.72146256, 0.7928565 , 0.90459727]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
267,"( ([[0.40396685, 0.9021534 , 0.60467884],
       [0.86412964, 0.6587099 , 0.64898573],
       [0.82127254, 0.08574162, 0.28411067]]),  ([[0.91691886, 0.12043141, 0.23413784],
       [0.19399715, 0.31200511, 0.39851991],
       [0.04917164, 0.2930655 , 0.51694501]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
268,"( ([[0.56040766, 0.36711339, 0.24511075],
       [0.351007  , 0.57213133, 0.44588126],
       [0.10075493, 0.84683793, 0.52849573]]),  ([[0.93722075, 0.77551776, 0.71512762],
       [0.81555799, 0.65743409, 0.03874372],
       [0.15143776, 0.39221804, 0.19206241]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.59823674, 0.        , 0.40176326]),  ([0.51068358, 0.48931642, 0.        ]))]"
269,"( ([[0.10906259, 0.62917866, 0.858608  ],
       [0.90710264, 0.00531348, 0.81990238],
       [0.44450962, 0.35250229, 0.98311484]]),  ([[0.69275817, 0.39308727, 0.38946969],
       [0.48316345, 0.41245248, 0.15382605],
       [0.11250501, 0.87891316, 0.85747508]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
270,"( ([[0.2308538 , 0.35946976, 0.52303458],
       [0.50049628, 0.71322448, 0.31551572],
       [0.21170456, 0.32589686, 0.39919707]]),  ([[0.42620773, 0.96726299, 0.70367479],
       [0.58200108, 0.54432329, 0.33945133],
       [0.10183104, 0.27400729, 0.99000738]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
271,"( ([[0.6606972 , 0.13998352, 0.11434607],
       [0.04640909, 0.95481366, 0.65649872],
       [0.89985735, 0.87706922, 0.82957968]]),  ([[0.10369898, 0.83831969, 0.08405602],
       [0.43099864, 0.95980962, 0.52658117],
       [0.99400498, 0.32129269, 0.80588808]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.        , 0.55988286, 0.44011714]),  ([0.08348909, 0.91651091, 0.        ]))]"
272,"( ([[0.37158019, 0.17160752, 0.19003093],
       [0.41553857, 0.16332406, 0.08011921],
       [0.30751011, 0.70302305, 0.96295103]]),  ([[0.60464708, 0.68139611, 0.36255073],
       [0.86255848, 0.00583465, 0.55596003],
       [0.77302614, 0.2071768 , 0.88498781]]))","[( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.        , 0.26749246, 0.73250754]),  ([0.89097508, 0.        , 0.10902492]))]"
273,"( ([[0.68435364, 0.4965585 , 0.83239987],
       [0.5520133 , 0.69078924, 0.17540221],
       [0.06922268, 0.77284707, 0.81970232]]),  ([[0.96066031, 0.19836746, 0.7903604 ],
       [0.12065957, 0.02169574, 0.86743104],
       [0.27777129, 0.60980199, 0.36215628]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.2949432, 0.       , 0.7050568]),  ([0.        , 0.04393828, 0.95606172]))]"
274,"( ([[0.79147241, 0.9642824 , 0.56393993],
       [0.41216538, 0.65890511, 0.17944074],
       [0.0508126 , 0.9686046 , 0.79705415]]),  ([[0.31423819, 0.68053608, 0.65569663],
       [0.00960194, 0.81986571, 0.81992787],
       [0.53999165, 0.79315758, 0.55206089]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
275,"( ([[0.61138757, 0.29787227, 0.78055797],
       [0.04958292, 0.91806798, 0.19362729],
       [0.59075895, 0.03489194, 0.37355332]]),  ([[0.99896315, 0.57494077, 0.95909507],
       [0.85022862, 0.99682094, 0.18801108],
       [0.514848  , 0.06539134, 0.35042905]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0.25690246, 0.74309754, 0.        ]),  ([0.52470011, 0.47529989, 0.        ]))]"
276,"( ([[0.18056248, 0.9071202 , 0.46929111],
       [0.27986367, 0.01112899, 0.8104388 ],
       [0.35585573, 0.81471214, 0.43951161]]),  ([[0.16368544, 0.3540109 , 0.33001448],
       [0.68366299, 0.68273669, 0.52827201],
       [0.62326271, 0.12193175, 0.41522765]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.51489939, 0.29016015, 0.19494046]),  ([0.21650351, 0.23343141, 0.55006508]))]"
277,"( ([[0.19480978, 0.53783389, 0.28783374],
       [0.75374983, 0.28873451, 0.27500847],
       [0.85141099, 0.7133951 , 0.30163749]]),  ([[0.80479953, 0.73868609, 0.9531324 ],
       [0.95996675, 0.95011701, 0.10655398],
       [0.1180793 , 0.11965569, 0.84262976]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
278,"( ([[0.57712803, 0.29915126, 0.90079061],
       [0.63225771, 0.5935122 , 0.28543058],
       [0.35923295, 0.98704288, 0.59871537]]),  ([[0.30974151, 0.33171233, 0.40437707],
       [0.97194997, 0.37857581, 0.69995329],
       [0.74812478, 0.50797957, 0.33508711]]))","[( ([1., 0., 0.]),  ([0., 0., 1.])), ( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0.74187877, 0.25812123, 0.        ]),  ([0.917777, 0.      , 0.082223]))]"
279,"( ([[0.33546412, 0.8107754 , 0.71411012],
       [0.39652676, 0.73255894, 0.3406158 ],
       [0.39152368, 0.65349863, 0.96200592]]),  ([[0.77557403, 0.1611728 , 0.16833081],
       [0.5274254 , 0.8699382 , 0.43058871],
       [0.54817218, 0.34985667, 0.33932028]]))","[( ([0.35793477, 0.64206523, 0.        ]),  ([0.56158073, 0.43841927, 0.        ]))]"
280,"( ([[0.3047419 , 0.12587403, 0.22512898],
       [0.81680922, 0.84695225, 0.60507751],
       [0.93547771, 0.08195485, 0.72462145]]),  ([[0.05250573, 0.90451094, 0.17098566],
       [0.66770319, 0.37697182, 0.47988752],
       [0.74063651, 0.64528374, 0.98260329]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
281,"( ([[0.34636516, 0.43906678, 0.15972526],
       [0.22727569, 0.32044275, 0.98231269],
       [0.79685422, 0.50024294, 0.23982849]]),  ([[0.42309278, 0.39971436, 0.83816025],
       [0.12706794, 0.39277328, 0.859585  ],
       [0.37272501, 0.5958468 , 0.00917061]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.        , 0.55688934, 0.44311066]),  ([0.        , 0.80504908, 0.19495092]))]"
282,"( ([[0.90548523, 0.23283546, 0.41936917],
       [0.62598405, 0.12577792, 0.38219511],
       [0.96282117, 0.53324437, 0.94210384]]),  ([[0.78024519, 0.20516182, 0.54989315],
       [0.69481804, 0.54269446, 0.34590031],
       [0.49009843, 0.79534665, 0.61287316]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
283,"( ([[0.46793462, 0.52651471, 0.52289031],
       [0.40770598, 0.53123292, 0.69479733],
       [0.74449326, 0.83756389, 0.35327625]]),  ([[0.51021146, 0.08272307, 0.24039129],
       [0.13591573, 0.37447754, 0.13617604],
       [0.50698464, 0.96345752, 0.88807481]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
284,"( ([[0.99436362, 0.81208599, 0.86744071],
       [0.23317716, 0.28638251, 0.30715212],
       [0.75393159, 0.58155691, 0.58778307]]),  ([[0.69169211, 0.47765395, 0.42802342],
       [0.96626935, 0.38898671, 0.86920045],
       [0.90570815, 0.40515401, 0.74004172]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
285,"( ([[0.83247483, 0.87945605, 0.7517885 ],
       [0.54977996, 0.28521283, 0.22418051],
       [0.00372771, 0.58298409, 0.07599653]]),  ([[0.56882635, 0.88912385, 0.28392067],
       [0.29392249, 0.31107992, 0.59109924],
       [0.39965269, 0.18128868, 0.40578604]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
286,"( ([[0.12877611, 0.47273454, 0.39308659],
       [0.67545329, 0.06696172, 0.55719503],
       [0.14261745, 0.81885198, 0.36543672]]),  ([[0.558631  , 0.90130765, 0.20773047],
       [0.10936824, 0.16440024, 0.09618123],
       [0.59107119, 0.3791068 , 0.19613181]]))","[( ([0.        , 0.79388485, 0.20611515]),  ([0.58525335, 0.41474665, 0.        ]))]"
287,"( ([[0.19504604, 0.32566053, 0.22224072],
       [0.70170594, 0.65462656, 0.73829128],
       [0.21240989, 0.43676342, 0.28202601]]),  ([[0.73261456, 0.63810763, 0.36033845],
       [0.166753  , 0.30731755, 0.7315844 ],
       [0.99310765, 0.65971627, 0.3732192 ]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
288,"( ([[0.90717588, 0.95293916, 0.2230871 ],
       [0.51492622, 0.14007499, 0.64870221],
       [0.75592755, 0.87966476, 0.27738826]]),  ([[0.10533559, 0.78410891, 0.72693993],
       [0.4309338 , 0.51040267, 0.44313868],
       [0.69825753, 0.43111492, 0.90916053]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0.89318493, 0.        , 0.10681507]),  ([0.       , 0.4256392, 0.5743608])), ( ([0.        , 0.87664992, 0.12335008]),  ([0.        , 0.33424495, 0.66575505]))]"
289,"( ([[0.49887855, 0.45581516, 0.89070455],
       [0.24653003, 0.82066594, 0.09946221],
       [0.7176729 , 0.79441082, 0.49931921]]),  ([[0.58562675, 0.85324874, 0.59410543],
       [0.2117214 , 0.07463681, 0.51815724],
       [0.26931431, 0.94391458, 0.44491068]]))","[( ([0.        , 0.52943344, 0.47056656]),  ([0.       , 0.9383845, 0.0616155]))]"
290,"( ([[0.77939771, 0.48363141, 0.67218592],
       [0.64287994, 0.05233408, 0.18743803],
       [0.47568656, 0.1197648 , 0.234191  ]]),  ([[0.60619418, 0.77174076, 0.05762078],
       [0.88776929, 0.2132773 , 0.16700415],
       [0.38549384, 0.56544568, 0.03830604]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
291,"( ([[0.35001095, 0.80471211, 0.02199871],
       [0.74482964, 0.72328088, 0.03619815],
       [0.80468562, 0.14284632, 0.29464123]]),  ([[0.00167232, 0.86908697, 0.48279818],
       [0.37323852, 0.52129487, 0.93846696],
       [0.63131116, 0.64718074, 0.81761992]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.30614444, 0.        , 0.69385556]),  ([0.       , 0.2917497, 0.7082503]))]"
292,"( ([[0.46505345, 0.25490682, 0.96208944],
       [0.07033646, 0.13825447, 0.48075049],
       [0.18264348, 0.92311038, 0.04679561]]),  ([[0.60181857, 0.6783044 , 0.82282376],
       [0.37633852, 0.94757511, 0.91439798],
       [0.68533433, 0.98839469, 0.44910684]]))","[( ([1., 0., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.78865482, 0.        , 0.21134518]),  ([0.        , 0.57802042, 0.42197958]))]"
293,"( ([[0.90304725, 0.61298481, 0.07324718],
       [0.75546426, 0.91239675, 0.22445394],
       [0.69364311, 0.40119385, 0.31811446]]),  ([[0.9803137 , 0.18447991, 0.95115695],
       [0.26182124, 0.3727045 , 0.29669861],
       [0.43837995, 0.02940865, 0.31103626]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0.        , 0.78747548, 0.21252452]),  ([0.        , 0.15484574, 0.84515426]))]"
294,"( ([[0.24228315, 0.96826281, 0.29406619],
       [0.89365606, 0.30425524, 0.20367336],
       [0.8354665 , 0.03774649, 0.67576012]]),  ([[0.38461537, 0.94097298, 0.95833327],
       [0.02889908, 0.5720871 , 0.22728934],
       [0.23645714, 0.92415314, 0.43806301]]))","[( ([0.96551738, 0.        , 0.03448262]),  ([0.        , 0.29087864, 0.70912136]))]"
295,"( ([[0.82056897, 0.47855605, 0.74628754],
       [0.57366335, 0.55922985, 0.48898302],
       [0.90007795, 0.95442862, 0.39646499]]),  ([[0.65928119, 0.71536626, 0.20485347],
       [0.73279978, 0.92775217, 0.19701783],
       [0.62376415, 0.2915359 , 0.32713517]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
296,"( ([[0.86764951, 0.34361445, 0.46437045],
       [0.40751764, 0.38303067, 0.63725093],
       [0.32850119, 0.70628079, 0.25334116]]),  ([[0.38544909, 0.08300638, 0.87465233],
       [0.47150416, 0.53450421, 0.22173242],
       [0.68402385, 0.46525392, 0.76299744]]))","[( ([0.33799755, 0.66200245, 0.        ]),  ([0.27310759, 0.        , 0.72689241]))]"
297,"( ([[0.29557093, 0.81283997, 0.98728565],
       [0.28430613, 0.9849218 , 0.80523946],
       [0.03440319, 0.72267239, 0.17512402]]),  ([[0.85996677, 0.14312762, 0.53775065],
       [0.77693143, 0.82383593, 0.16635609],
       [0.39132082, 0.56162169, 0.6141223 ]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0.06141393, 0.93858607, 0.        ]),  ([0.93856013, 0.06143987, 0.        ]))]"
298,"( ([[0.82250082, 0.96736271, 0.41589113],
       [0.61104855, 0.33675101, 0.84361602],
       [0.93889188, 0.96485112, 0.20704587]]),  ([[0.58994681, 0.86889243, 0.42244222],
       [0.75494746, 0.11823179, 0.8773569 ],
       [0.94413174, 0.03024091, 0.07090586]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.76614932, 0.        , 0.23385068]),  ([0.0211231, 0.9788769, 0.       ])), ( ([0.        , 0.87705394, 0.12294606]),  ([0.66005937, 0.        , 0.33994063]))]"
299,"( ([[0.8157213 , 0.7779628 , 0.03801909],
       [0.98068904, 0.38226318, 0.17538578],
       [0.14733913, 0.79271815, 0.54067686]]),  ([[0.5173417 , 0.45224633, 0.79394107],
       [0.25058522, 0.7530983 , 0.78609943],
       [0.26549903, 0.62725587, 0.44603127]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
300,"( ([[0.31901001, 0.03978553, 0.44191579],
       [0.38117109, 0.48615174, 0.29119713],
       [0.65675966, 0.28741078, 0.70169713]]),  ([[0.94052367, 0.78359189, 0.5979589 ],
       [0.45552967, 0.42675678, 0.12367732],
       [0.22865188, 0.77723934, 0.23135146]]))","[( ([0.        , 0.95016476, 0.04983524]),  ([0.41899343, 0.58100657, 0.        ]))]"
301,"( ([[0.95388301, 0.60232242, 0.98059725],
       [0.71455501, 0.81410993, 0.30374116],
       [0.07176206, 0.04916864, 0.79114892]]),  ([[0.67283323, 0.3217267 , 0.34779112],
       [0.70040627, 0.56557039, 0.1796751 ],
       [0.3025333 , 0.61932935, 0.03921497]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
302,"( ([[0.84992298, 0.24585271, 0.46386092],
       [0.9686883 , 0.04639808, 0.52170263],
       [0.01163249, 0.96710947, 0.62695001]]),  ([[0.51672321, 0.64664657, 0.52366847],
       [0.41997287, 0.97430151, 0.88766452],
       [0.86052529, 0.24432574, 0.66072822]]))","[( ([0.82586868, 0.        , 0.17413132]),  ([0.4624783, 0.5375217, 0.       ])), ( ([0.       , 0.2993265, 0.7006735]),  ([9.90747046e-02, 5.91246365e-17, 9.00925295e-01])), ( ([0.6930341 , 0.08467197, 0.22229393]),  ([0.33198759, 0.30341511, 0.3645973 ]))]"
303,"( ([[0.09482558, 0.99702153, 0.25391034],
       [0.70747054, 0.23217825, 0.39950112],
       [0.48906252, 0.6589345 , 0.25772945]]),  ([[0.73988878, 0.44532774, 0.96437076],
       [0.54390951, 0.96051638, 0.02163181],
       [0.50861292, 0.06686576, 0.66813965]]))","[( ([0.        , 0.51464448, 0.48535552]),  ([0.66146913, 0.33853087, 0.        ]))]"
304,"( ([[0.3594197 , 0.66113228, 0.90316532],
       [0.77908645, 0.09353892, 0.12955837],
       [0.3398503 , 0.85824651, 0.97369068]]),  ([[0.2571836 , 0.17709261, 0.70045253],
       [0.25113381, 0.81239124, 0.2220597 ],
       [0.49233329, 0.42366461, 0.4111082 ]]))","[( ([0.        , 0.10901069, 0.89098931]),  ([0.63516888, 0.36483112, 0.        ]))]"
305,"( ([[0.19346192, 0.8771973 , 0.82371109],
       [0.45573546, 0.8392069 , 0.7995575 ],
       [0.5342047 , 0.14610031, 0.72016517]]),  ([[0.98158561, 0.43354026, 0.58232939],
       [0.0579076 , 0.065653  , 0.98716394],
       [0.06521314, 0.39883148, 0.57826719]]))","[( ([0.69947125, 0.30052875, 0.        ]),  ([0.08432717, 0.        , 0.91567283]))]"
306,"( ([[0.52408862, 0.01390437, 0.50501316],
       [0.05886646, 0.23696225, 0.79268505],
       [0.53981764, 0.05313488, 0.63596492]]),  ([[0.74682897, 0.47385756, 0.05198249],
       [0.5343448 , 0.86499735, 0.32018178],
       [0.77934198, 0.6658923 , 0.62108645]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.        , 0.25545849, 0.74454151]),  ([0.27652422, 0.72347578, 0.        ]))]"
307,"( ([[0.17168892, 0.60123658, 0.10940132],
       [0.2742057 , 0.68972585, 0.84296779],
       [0.57751486, 0.30145852, 0.16358179]]),  ([[0.48705745, 0.63554626, 0.72838926],
       [0.58546517, 0.38508318, 0.76603924],
       [0.34142669, 0.03263451, 0.25798436]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.        , 0.31604982, 0.68395018]),  ([0.69134969, 0.        , 0.30865031]))]"
308,"( ([[0.70983444, 0.63558366, 0.4197636 ],
       [0.83913731, 0.83150341, 0.06410721],
       [0.38703068, 0.19197334, 0.00870409]]),  ([[0.09304767, 0.49046237, 0.12298223],
       [0.05464287, 0.61806987, 0.58197149],
       [0.90982036, 0.41225427, 0.35213068]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
309,"( ([[0.2417745 , 0.68513   , 0.45668699],
       [0.73816492, 0.50010707, 0.38537848],
       [0.9395199 , 0.04989431, 0.25440843]]),  ([[0.8039491 , 0.27372088, 0.55199162],
       [0.43474792, 0.59903577, 0.15275734],
       [0.95269743, 0.84039478, 0.02761565]]))","[( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.23655012, 0.76344988, 0.        ]),  ([0.27152818, 0.72847182, 0.        ])), ( ([0.        , 0.40602495, 0.59397505]),  ([0.69096846, 0.30903154, 0.        ]))]"
310,"( ([[0.16748973, 0.64262824, 0.08991974],
       [0.86228757, 0.12860415, 0.49444873],
       [0.89734652, 0.7780984 , 0.56655045]]),  ([[0.32016373, 0.54530944, 0.24285935],
       [0.96802923, 0.332769  , 0.31764669],
       [0.60028732, 0.4209577 , 0.21617664]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
311,"( ([[0.11418411, 0.15214282, 0.76507618],
       [0.24680782, 0.83961401, 0.63167975],
       [0.58995636, 0.78523764, 0.16524746]]),  ([[0.73066816, 0.33241083, 0.75541777],
       [0.87450151, 0.02885094, 0.01167901],
       [0.80778806, 0.91659662, 0.92394621]]))","[( ([1., 0., 0.]),  ([0., 0., 1.])), ( ([0.97211539, 0.02788461, 0.        ]),  ([0.50145237, 0.        , 0.49854763])), ( ([0.        , 0.11865214, 0.88134786]),  ([0.57614049, 0.        , 0.42385951]))]"
312,"( ([[0.28319441, 0.75386871, 0.17237835],
       [0.64731791, 0.23783647, 0.37230867],
       [0.9747456 , 0.98271733, 0.88660492]]),  ([[0.331796  , 0.54829881, 0.635981  ],
       [0.58085043, 0.31214398, 0.23569576],
       [0.64521411, 0.70930382, 0.29547455]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
313,"( ([[0.77091737, 0.28509922, 0.21593592],
       [0.25358204, 0.7582779 , 0.96448664],
       [0.53382666, 0.87438915, 0.71351322]]),  ([[0.46233232, 0.30564978, 0.37964123],
       [0.83700917, 0.76963441, 0.93472215],
       [0.93885731, 0.97924356, 0.47014762]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.20493479, 0.        , 0.79506521]),  ([0.71309745, 0.28690255, 0.        ])), ( ([0.        , 0.82749105, 0.17250895]),  ([0.47244898, 0.        , 0.52755102]))]"
314,"( ([[0.01448297, 0.83894672, 0.75555818],
       [0.65962534, 0.6742456 , 0.16006087],
       [0.15234402, 0.79597117, 0.00447192]]),  ([[0.1898218 , 0.44519139, 0.31652987],
       [0.05188693, 0.6374314 , 0.78191656],
       [0.64342842, 0.21093967, 0.53358067]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
